ident,latitude,longitude
GP037,-21.51309167,-48.49033889
VT084,-20.48252778,-40.27824167
EDMAD,-22.732,-43.38516667
ME037,-22.57112222,-41.92745833
TOSAT,-21.76773611,-43.38373056
KUDUX,-25.22433333,-53.88233333
PABIN,-17.79333333,-48.19566667
SL043,-2.805216667,-44.41131111
SP112,-23.63424167,-46.64999722
ME034,-22.27935833,-41.65658889
ARTUT,-25.628475,-48.10464167
ARNIL,-24.83297222,-52.68113056
ME041,-22.11495556,-41.60480556
ATOGI,-21.41646111,-41.32977778
CP041,-21.73985,-41.34885278
CTB15,-25.39077569,-49.33976325
UTKAL,-17.88613333,-48.64151111
ATIMA,-25.27966111,-48.298675
POSTU,-4.584380556,-59.43099722
BIVEL,-9.91185,-67.96071111
GP043,-21.79883333,-48.56081944
ZM037,-21.51883333,-43.42166667
SMA16,-29.71737222,-53.59970556
AR368,-11.08566667,-36.8595
ISTOP,-31.76862222,-52.40596944
DB001,-21.02016667,-56.4085
DAMTA,-23.4064275,-46.38546389
NTL12,-5.802297222,-35.56584444
OGDUP,-5.707833333,-46.36191667
LODET,-23.62728889,-51.91504444
ARTIG,-1.743597222,-35.46130556
MS017,-4.99955,-37.38068611
PS032,-16.47270556,-38.84490556
UMGES,-25.77852222,-50.1232
BW019,-15.68633611,-52.30352778
UKANA,-25.33616667,-53.8195
UKENI,-22.1575,-39.64033333
EKEBA,-13.31606667,-50.64865278
SASPA,-22.43907222,-41.34465278
GR237,-23.53575833,-46.56753889
ORUDI,-22.28303889,-51.21898333
SP066,-23.75086389,-46.90385
KEXIT,-20.58361667,-47.38258056
PAGUE,-17.46050556,-48.65439722
OGRUN,-32.062,-53.84283333
MIGOD,-16.25726389,-55.80774722
NTL02,-5.805013889,-35.19335278
SC003,-23.1205,-43.69866667
PULBI,-18.15178333,-54.035375
SUMPO,-24.67906667,-49.38664167
GAVAP,-3.705338889,-60.33371667
USITO,-23.79433333,-46.54033333
AX358,-19.65706111,-46.85953056
FN366,-3.844694444,-32.55083333
SVD51,-12.68882778,-38.31723056
KG006,-7.2175,-35.9705
EVRIV,-19.34528333,-49.86995
RONCA,-5.7065,-43.02116667
PALUV,-22.42844444,-40.08948056
